Title,Status,Tags,"Sign date","Sign year","Counterpart (original)","Counterpart ISO","Counterpart SPA","Counterpart ENG","Region SPA","Region ENG"
"Convención entre la  República Argentina y la República del Perú  relativa a la supresión de la legalización de los exhortos, cartas rogatorias y demás documentos provenientes de uno u otro país","Vigente con Modificaciones","Asistencia judicial
Derecho Internacional Privado
Legalizaciones",10/02/1910,1910,Perú,PER,Perú,Peru,América,America
"Acuerdo por canje de notas Argentino-Sueco sobre Reciprocidad de Franquicias en ciertos Derechos Aduaneros",Vigente,Aduanas,28/02/1910,1910,Suecia,SWE,Suecia,Sweden,Europa,Europe
"Convenio de Arbitraje entre la República Argentina y el Rey del Reino Unido de la Gran Bretaña e Irlanda y de los Dominios de Allende los Mares, Emperador de la India.","No está en vigor","Arbitraje
Solución de controversias
Tratados",31/03/1910,1910,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Protocolo Consular entre el Gobierno de la República Argentina y el Gobierno Imperial Otomano",Vigente,"Relaciones Consulares",11/06/1910,1910,"Türkiye, República de (Turquía)",TUR,Turquía,Turkey,Europa,Europe
"Acta relativa a los incidentes hostiles en contra de los emblemas nacionales, argentino brasileños del mes de mayo",,"Relaciones Internacionales",15/08/1910,1910,Brasil,BRA,Brasil,Brazil,América,America
"Convenio sanitario entre la República Argentina y la República Oriental del Uruguay",,"Buques
Puertos
Salud",29/08/1910,1910,Uruguay,URY,Uruguay,Uruguay,América,America
"Tratado de amistad, comercio y navegación entre la rep. argentina y la rep. de nicaragua",,"Amistad
Comercio
Transporte por agua",29/08/1910,1910,Nicaragua,NIC,Nicaragua,Nicaragua,América,America
"Convenio para Fundar en la Sorbona una Cátedra de Historia Política y Económica de la República Argentina",,"Asuntos académicos
Economía
Universidades",05/09/1910,1910,Francia,FRA,Francia,France,Europa,Europe
"Convención de Arbitraje entre los Gobiernos de Argentina y Francia","No está en vigor",Arbitraje,07/09/1910,1910,Francia,FRA,Francia,France,Europa,Europe
"Tratado de extradición entre la República Argentina y la República de Chile","No está en vigor","Asistencia judicial
Asuntos penales y ética
Extradición",12/09/1910,1910,Chile,CHL,Chile,Chile,América,America
"Convención sobre Asistencia Hospitalaria recíproca entre la República Argentina y el Reino de los  Países Bajos",Vigente,Salud,29/09/1910,1910,"Países Bajos",NLD,"Países Bajos",Netherlands,Europa,Europe
"Artículos  entre la República Argentina y los Estados Unidos del Brasil estableciendo la demarcación de Fronteras",Vigente,"Cooperación
Fronteras
Límites
Ríos Internacionales
Territorio",04/10/1910,1910,Brasil,BRA,Brasil,Brazil,América,America
"Convención Complementaria entre los gobiernos de la República Argentina y de los Estados unidos del Brasil del Tratado de Límites del 6 de octubre de 1898 (y artículos estableciendo la demarcación de fronteras)",,"Fronteras
Límites
Ríos Internacionales
Territorio",04/10/1910,1910,Brasil,BRA,Brasil,Brazil,América,America
"Ampliación del Acuerdo sanitario Argentino-Uruguayo del 29-8-1910",,"Buques
Salud
Transporte por agua",10/12/1910,1910,Uruguay,URY,Uruguay,Uruguay,América,America
"Protocolo sobre restablecimiento de relaciones diplomáticas entre la República Argentina y la República de Bolivia.",Vigente,"Diplomacia
Política",13/12/1910,1910,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Protocolo entre el Gobierno de la República Argentina y el Gobierno de Chile referente a la reclamación de los herederos de Federico Van De Velde (sobre cargo de la barca ""Jeanne Amelie"")",,"Buques
Derecho civil
Relaciones Internacionales",17/12/1910,1910,Chile,CHL,Chile,Chile,América,America
"Acta Adicional al Protocolo sobre Restablecimiento de Relaciones Diplomáticas",,"Relaciones diplomáticas",04/01/1911,1911,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Tratado General de Arbitraje entre la República Argentina y la República del Ecuador.",Vigente,"Arbitraje
Solución de controversias",12/07/1911,1911,Ecuador,ECU,Ecuador,Ecuador,América,America
"Tratado General de Arbitraje entre la República Argentina y los Estados Unidos de Venezuela",Vigente,"Arbitraje
Asuntos consulares
Conflictos armados
Consulares
Cooperación
Defensa
Defensa y Seguridad
Pacificación",22/07/1911,1911,"Venezuela, República Bolivariana de",VEN,Venezuela,Venezuela,América,America
"Protocolo relativo al nombramiento de peritos para continuar el amojonamiento de la frontera entre la República Argentina y la República de Bolivia.",Vigente,"Fronteras
Límites",15/09/1911,1911,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
